time-step,y_out,perf/mse
0,0.16240999615398422,
,,
1,0.07641456463160486,
,,
2,-0.0011717288240395193,
,,
3,-0.09012713418421624,
,,
4,-0.012061218454751216,
,,
5,0.15191245448182283,
,,
6,-0.048566227146673684,
,,
7,-0.0013081162506174103,
,,
8,0.07500560284415056,
,,
9,-0.022956678253111172,0.4116845
,,
10,0.06660997968239282,0.34226435
,,
11,0.11308196148160113,0.2865979
,,
12,0.06840011216646363,0.22066227
,,
13,0.01800599775137217,0.17881593
,,
14,0.024976372658908126,0.15293343
,,
15,0.018461401431130123,0.13582486
,,
16,-0.01501410261941262,0.12673703
,,
17,0.06755599212415825,0.118425295
,,
18,-0.019971585166287498,0.1182645
,,
19,-0.04203208715773933,0.11723097
,,
20,0.0020152994063752615,0.11428434
,,
21,-0.016077175147938425,0.110354364
,,
22,-0.011169867559633392,0.10520983
,,
23,0.07157224793263184,0.09873715
,,
24,0.04875229753230614,0.0954464
,,
25,-0.013226237991990256,0.090510435
,,
26,0.008634544825672864,0.08614574
,,
27,0.044358858961731015,0.08214369
,,
28,-0.04581204958054661,0.07739
,,
29,-0.06548359883454802,0.072461925
,,
30,0.02001096314776065,0.07006042
,,
31,0.00980486070814907,0.067246854
,,
32,0.0828596115359481,0.065904096
,,
33,-0.13458109908006685,0.06531572
,,
34,0.11535667444324081,0.061929334
,,
35,-0.10291404142438783,0.060432475
,,
36,0.004494428363629843,0.057160437
,,
37,0.12884621761570197,0.05663547
,,
38,-0.013382023832540384,0.05235964
,,
39,0.0050273293669035185,0.051079948
,,
40,-0.04260475431574122,0.05068625
,,
41,-0.006983668716958595,0.04840982
,,
42,-0.043439135871932266,0.04626112
,,
43,-0.034347496111465654,0.04484333
,,
44,0.09160496522496815,0.046863087
,,
45,-0.018642889852113896,0.046616856
,,
46,-0.053921264724906465,0.047773868
,,
47,0.04428160342142992,0.04544707
,,
48,0.06687881493531449,0.044461053
,,
49,0.09832220469501696,0.044983987
,,
50,0.0020377153022540784,0.04420654
,,
51,0.030024046055545216,0.045076367
,,
52,-0.003560809313594822,0.045095697
,,
53,-0.028752017812056593,0.046461117
,,
54,-0.017544264817461762,0.04372434
,,
55,-0.12818225167456726,0.04359477
,,
56,-0.09943109716961919,0.043051086
,,
57,-0.03015853874993539,0.043757685
,,
58,-0.043659483640211584,0.046227086
,,
59,-0.020180478674383003,0.045824
,,
60,-0.00417215039349321,0.044117607
,,
61,0.03405750422793356,0.042604417
,,
62,-0.0050933857095513055,0.043005396
,,
